model,prompt,temperature,true_mean_length,mean_length,cleaned_mean_length,bleu_mean,meteor_mean,rouge_l_mean,cleaned_bleu_mean,cleaned_meteor_mean,cleaned_rouge_l_mean,cleaned_blue_std,cleaned_meteor_std,cleaned_rouge_l_std,cleaned_blue_p2,cleaned_meteor_p2,cleaned_rouge_l_p2,cleaned_blue_p25,cleaned_meteor_p25,cleaned_rouge_l_p25,cleaned_blue_p50,cleaned_meteor_p50,cleaned_rouge_l_p50,cleaned_blue_p75,cleaned_meteor_p75,cleaned_rouge_l_p75,cleaned_blue_p98,cleaned_meteor_p98,cleaned_rouge_l_p98,first_sentence_bleu_mean,first_sentence_meteor_mean,first_sentence_rouge_l_mean
codellama,baseline,0.7,75.517,289.769,99.319,0.013597872310760428,0.138381815957568,0.12687911544002295,0.01801674180407578,0.12090016347364525,0.1600848982892844,0.031653084171026025,0.12256805411831344,0.12403577930792482,0.0,0.0,0.0,0.0,0.03929318405511811,0.08,0.014279410257529771,0.08797729618163054,0.13953488372093023,0.023457495174891017,0.1639344262295082,0.22857142857142856,0.08632996255097593,0.49059800005434595,0.46153846153846156,0.01830410442539016,0.12771378282724555,0.1622472536902947
codellama,cot,0.7,75.517,1031.838,93.06,0.0044069658796191385,0.10210067209738563,0.05252227531476801,0.010930704478145387,0.08165265562518928,0.10152681463823439,0.019446533327533235,0.0930204333839122,0.10721529259200753,0.0,0.0,0.0,0.0,0.0,0.0,0.0016229137920734308,0.06097560975609756,0.08333333333333333,0.01758542189440898,0.11560822898032201,0.15384615384615383,0.0617552375457934,0.36002735310247036,0.39999999999999997,0.010946429814870548,0.08375781791013165,0.09994009263373971
codellama,fewshot,0.7,75.517,451.571,119.231,0.009778396847705977,0.14102582778678738,0.09218717002427033,0.019078982633526326,0.13536462994548124,0.1578515646125704,0.042961060413673376,0.13038172838928183,0.12550849770607492,0.0,0.0,0.0,0.0,0.0484850616762816,0.07142857142857144,0.013609139615996616,0.10118072618072618,0.12903225806451613,0.022839600436590893,0.17462236470332537,0.2222222222222222,0.09435023974015955,0.5094759913482337,0.4803999999999996,0.019305565666386193,0.14213422646841406,0.15782849555943887
mistral-shorten,fewshot,0.25,75.517,359.844,78.094,0.012036337879806944,0.11427581273421623,0.12892221349408414,0.016472520177797927,0.10976518170733372,0.16663320003944138,0.024568591240860315,0.11419914818471509,0.12645317442141968,0.0,0.0,0.0,0.0,0.037002870028700285,0.0909090909090909,0.011346302178301591,0.07672684458398744,0.14285714285714288,0.02568481047180467,0.14823982398239824,0.23076923076923075,0.07883498036706339,0.4712518456106562,0.5,0.017730876442535966,0.11860111898487007,0.1719527990322237
mistral,baseline,0.7,75.517,117.045,108.002,0.01751901092651083,0.13662536546426077,0.17187552326203723,0.017866127014426254,0.13584502838989235,0.17418909972666327,0.018326141289715332,0.1226031426230114,0.11167320473588022,0.0,0.0,0.0,0.0003755583548818222,0.05414551814091635,0.09523809523809523,0.016591439325163958,0.10169608383894098,0.16216216216216214,0.023143716762037445,0.17857142857142858,0.23529411764705882,0.07129858343414651,0.464599358974359,0.4444444444444444,0.018323913825308864,0.14769125067021777,0.17834942932701495
mistral,cot,0.7,75.517,603.721,111.548,0.007237759448286093,0.1468113618691473,0.08406435921590827,0.01707187867237938,0.13005229064070198,0.16359361927046948,0.024305728495677636,0.121045852550979,0.11841228958501622,0.0,0.0,0.0,0.0,0.05434782608695652,0.08333333333333333,0.01550550784373247,0.09433962264150944,0.14415584415584415,0.02183556213332633,0.18002157086664128,0.23529411764705882,0.0713748627201146,0.4642463235294117,0.45468531468531453,0.017594561320320178,0.13897115786815362,0.16466961144066375
mistral,fewshot,0.0,75.517,90.506,86.851,0.022738811464763878,0.15412950164148898,0.19147187592341852,0.022861085498604508,0.1534449850410295,0.19181856017725216,0.03554996038262562,0.14777094771832383,0.13340434623668307,0.0,0.0,0.0,0.0,0.05730799373040752,0.10458839406207826,0.019605495705651316,0.10974046450154959,0.17391304347826086,0.02569682041703705,0.20161290322580647,0.26086956521739135,0.12740263434199736,0.5943222739018088,0.5333333333333333,0.023742680613731342,0.1659907995848971,0.19690290229052504
mistral,fewshot,0.25,75.517,92.426,88.257,0.023010318969506522,0.15545677363370125,0.19169915665555756,0.023156149085725233,0.15469467834135128,0.1924361105874423,0.03606724558099436,0.1455358981251718,0.13229620537087988,0.0,0.0,0.0,0.0,0.05747126436781609,0.10526315789473682,0.019318149264502253,0.10600839077015284,0.17391304347826086,0.02573285025273419,0.20932381788673976,0.2608695652173913,0.12241439778246106,0.5710034013605442,0.5263157894736842,0.024217182675075007,0.16740787390874629,0.19758959187488023
mistral,fewshot,0.5,75.517,99.776,93.633,0.021119144498880225,0.1495775860301774,0.18495292523477644,0.021174031772707706,0.14894679262045987,0.18636940790672005,0.030990990105504376,0.14058293224178164,0.13016846291035739,0.0,0.0,0.0,0.0,0.05571045022717885,0.09999999999999999,0.018626435464975874,0.1111111111111111,0.16666666666666666,0.02432569648398209,0.19498657766814192,0.25,0.11393606044195702,0.5854670340762271,0.526558704453441,0.021985310423264452,0.16107451671846373,0.1908240929459732
mistral,fewshot,0.7,75.517,104.366,93.321,0.019582712295750242,0.14618153142686474,0.18089636003172682,0.019634610972400806,0.1438603626268247,0.1824012343425124,0.02864126454338339,0.13860743973989612,0.12698303718568887,0.0,0.0,0.0,0.0,0.053763440860215055,0.09698025551684089,0.01758542189440898,0.10416666666666667,0.16,0.02383765064930276,0.18830513146377592,0.24999999999999994,0.07163128736110133,0.5604001866233219,0.5,0.02040416778034907,0.1555590905977529,0.18743683574516118
